序号,股票代码,股票简称,公司名称,省份,城市,主营业务收入(201712),净利润(201712),员工人数,上市日期,招股书,公司财报,行业分类,产品类型,主营业务
29,33,新都退,深圳新都酒店股份有限公司,--,广东,--,--,242,1994-01-03,--,,--,酒店经营、租赁业务、贸易业务、互联网业务、酒店咨询管理,酒店业务及其附属设施业务
30,34,神州数码,神州数码集团股份有限公司,深圳市,南山区,6221595.05,72292.47,4486,1994-05-09,--,,贸易,IT分销、自主品牌、云服务,电话机产品的生产与销售及饲料产品的生产及销售及消费电子产品分销和企业IT产品分销
31,35,中国天楹,中国天楹股份有限公司,南通市,海安县,161181.41,22226.92,5737,1994-04-08,--,,垃圾发电,垃圾焚烧发电、环保工程设备、房屋租赁、城市环境服务,以BOO、BOT方式投资、建设和运营城市生活垃圾焚烧发电项目，研发、生产、销售垃圾焚烧发电及环保成套设备
32,36,华联控股,华联控股股份有限公司,深圳市,福田区,397174.70,134312.51,810,1994-06-17,--,,房地产开发,房产销售、房地产出租、酒店收入,房地产开发及自有物业租赁管理业务
33,37,深南电A,深圳南山热电股份有限公司,深圳市,南山区,204576.68,1590.42,519,1994-07-01,--,,火电,能源行业、工程劳务、污泥干化,生产经营供电供热、从事发电厂(站)的相关技术咨询和技术服务
34,38,深大通,深圳大通实业股份有限公司,深圳市,南山区,151036.65,35793.01,244,1994-08-08,--,,网络媒体,供应链管理、广告传媒、房地产,新媒体传媒运营、广告发布
35,39,中集集团,中国国际海运集装箱(集团)股份有限公司,深圳市,南山区,7629993.00,250924.20,50689,1994-04-08,--,,金属制品,集装箱、道路运输车辆、能源、化工、液态食品装备、海洋工程、空港设备、物流服务、金融、房地产、重卡,主要从事集装箱、能源、化工及液态食品装备、海洋工程装备、空港设备的制造及服务业务
36,40,东旭蓝天,东旭蓝天新能源股份有限公司,深圳市,罗湖区,813102.53,54409.84,2881,1994-08-08,--,,太阳能,房地产、物业、新能源收入、房地产租赁、环保,"光伏电站投资、建设、运营,房地产开发与销售、物业管理等"
37,42,中洲控股,深圳市中洲投资控股股份有限公司,深圳市,南山区,865423.38,61536.32,2314,1994-09-21,--,,房地产开发,房地产、服务、酒店、施工,房地产开发、物业租赁经营、酒店经营、建筑施工。
38,43,中航善达,中航善达股份有限公司,深圳市,福田区,589349.40,15058.78,19513,1994-09-28,--,,房地产开发,建筑业、房地产、物业、餐饮等服务,物业资产管理业务
